article,date,sales
1001,2022-01-01,156
1001,2022-02-01,171
1001,2022-03-01,192
1001,2022-04-01,192
1001,2022-05-01,184
1001,2022-06-01,165
1001,2022-07-01,155
1001,2022-08-01,120
1001,2022-09-01,118
1001,2022-10-01,106
1001,2022-11-01,118
1001,2022-12-01,139
1001,2023-01-01,167
1001,2023-02-01,179
1001,2023-03-01,211
1001,2023-04-01,198
1001,2023-05-01,194
1001,2023-06-01,199
1001,2023-07-01,143
1001,2023-08-01,160
1001,2023-09-01,141
1001,2023-10-01,131
1001,2023-11-01,126
1001,2023-12-01,138
1001,2024-01-01,183
1001,2024-02-01,177
1001,2024-03-01,207
1001,2024-04-01,229
1001,2024-05-01,206
1001,2024-06-01,213
1002,2022-01-01,61
1002,2022-02-01,76
1002,2022-03-01,83
1002,2022-04-01,87
1002,2022-05-01,77
1002,2022-06-01,67
1002,2022-07-01,66
1002,2022-08-01,54
1002,2022-09-01,49
1002,2022-10-01,54
1002,2022-11-01,53
1002,2022-12-01,73
1002,2023-01-01,69
1002,2023-02-01,69
1002,2023-03-01,97
1002,2023-04-01,83
1002,2023-05-01,89
1002,2023-06-01,98
1002,2023-07-01,94
1002,2023-08-01,71
1002,2023-09-01,75
1002,2023-10-01,71
1002,2023-11-01,45
1002,2023-12-01,69
1002,2024-01-01,103
1002,2024-02-01,93
1002,2024-03-01,92
1002,2024-04-01,95
1002,2024-05-01,80
1002,2024-06-01,104
1003,2022-01-01,78
1003,2022-02-01,88
1003,2022-03-01,94
1003,2022-04-01,95
1003,2022-05-01,107
1003,2022-06-01,83
1003,2022-07-01,74
1003,2022-08-01,67
1003,2022-09-01,67
1003,2022-10-01,64
1003,2022-11-01,58
1003,2022-12-01,80
1003,2023-01-01,84
1003,2023-02-01,85
1003,2023-03-01,110
1003,2023-04-01,114
1003,2023-05-01,96
1003,2023-06-01,99
1003,2023-07-01,79
1003,2023-08-01,66
1003,2023-09-01,73
1003,2023-10-01,57
1003,2023-11-01,66
1003,2023-12-01,93
1003,2024-01-01,102
1003,2024-02-01,112
1003,2024-03-01,136
1003,2024-04-01,112
1003,2024-05-01,127
1003,2024-06-01,115
1004,2022-01-01,204
1004,2022-02-01,221
1004,2022-03-01,236
1004,2022-04-01,252
1004,2022-05-01,243
1004,2022-06-01,238
1004,2022-07-01,206
1004,2022-08-01,175
1004,2022-09-01,168
1004,2022-10-01,138
1004,2022-11-01,166
1004,2022-12-01,177
1004,2023-01-01,210
1004,2023-02-01,235
1004,2023-03-01,259
1004,2023-04-01,273
1004,2023-05-01,268
1004,2023-06-01,264
1004,2023-07-01,221
1004,2023-08-01,162
1004,2023-09-01,191
1004,2023-10-01,151
1004,2023-11-01,159
1004,2023-12-01,194
1004,2024-01-01,197
1004,2024-02-01,241
1004,2024-03-01,281
1004,2024-04-01,305
1004,2024-05-01,268
1004,2024-06-01,238
1005,2022-01-01,163
1005,2022-02-01,202
1005,2022-03-01,205
1005,2022-04-01,210
1005,2022-05-01,205
1005,2022-06-01,199
1005,2022-07-01,163
1005,2022-08-01,159
1005,2022-09-01,143
1005,2022-10-01,126
1005,2022-11-01,133
1005,2022-12-01,169
1005,2023-01-01,173
1005,2023-02-01,227
1005,2023-03-01,209
1005,2023-04-01,234
1005,2023-05-01,220
1005,2023-06-01,219
1005,2023-07-01,181
1005,2023-08-01,151
1005,2023-09-01,166
1005,2023-10-01,151
1005,2023-11-01,160
1005,2023-12-01,167
1005,2024-01-01,198
1005,2024-02-01,207
1005,2024-03-01,211
1005,2024-04-01,247
1005,2024-05-01,218
1005,2024-06-01,238
