article,date,sales
1,2013-01-01,133
1,2013-01-02,99
1,2013-01-03,127
1,2013-01-04,145
1,2013-01-05,149
1,2013-01-06,149
1,2013-01-07,92
1,2013-01-08,119
1,2013-01-09,114
1,2013-01-10,103
1,2013-01-11,139
1,2013-01-12,126
1,2013-01-13,170
1,2013-01-14,92
1,2013-01-15,121
1,2013-01-16,116
1,2013-01-17,122
1,2013-01-18,122
1,2013-01-19,139
1,2013-01-20,153
1,2013-01-21,94
1,2013-01-22,96
1,2013-01-23,126
1,2013-01-24,102
1,2013-01-25,126
1,2013-01-26,124
1,2013-01-27,131
1,2013-01-28,111
1,2013-01-29,129
1,2013-01-30,108
1,2013-01-31,117
1,2013-02-01,148
1,2013-02-02,168
1,2013-02-03,173
1,2013-02-04,126
1,2013-02-05,121
1,2013-02-06,113
1,2013-02-07,140
1,2013-02-08,130
1,2013-02-09,154
1,2013-02-10,151
1,2013-02-11,111
1,2013-02-12,127
1,2013-02-13,133
1,2013-02-14,123
1,2013-02-15,120
1,2013-02-16,154
1,2013-02-17,179
1,2013-02-18,107
1,2013-02-19,104
1,2013-02-20,129
1,2013-02-21,136
1,2013-02-22,142
1,2013-02-23,158
1,2013-02-24,185
1,2013-02-25,111
1,2013-02-26,132
1,2013-02-27,129
1,2013-02-28,159
1,2013-03-01,164
1,2013-03-02,203
1,2013-03-03,198
1,2013-03-04,156
1,2013-03-05,150
1,2013-03-06,170
1,2013-03-07,169
1,2013-03-08,166
1,2013-03-09,176
1,2013-03-10,195
1,2013-03-11,133
1,2013-03-12,171
1,2013-03-13,159
1,2013-03-14,162
1,2013-03-15,160
1,2013-03-16,161
1,2013-03-17,188
1,2013-03-18,130
1,2013-03-19,153
1,2013-03-20,157
1,2013-03-21,173
1,2013-03-22,178
1,2013-03-23,178
1,2013-03-24,191
1,2013-03-25,134
1,2013-03-26,148
1,2013-03-27,136
1,2013-03-28,166
1,2013-03-29,181
1,2013-03-30,181
1,2013-03-31,203
1,2013-04-01,134
1,2013-04-02,187
1,2013-04-03,210
1,2013-04-04,229
1,2013-04-05,199
1,2013-04-06,219
1,2013-04-07,244
1,2013-04-08,167
1,2013-04-09,149
1,2013-04-10,183
1,2013-04-11,202
1,2013-04-12,209
1,2013-04-13,210
1,2013-04-14,259
1,2013-04-15,139
1,2013-04-16,155
1,2013-04-17,174
1,2013-04-18,209
1,2013-04-19,196
1,2013-04-20,221
1,2013-04-21,238
1,2013-04-22,144
1,2013-04-23,164
1,2013-04-24,173
1,2013-04-25,204
1,2013-04-26,203
1,2013-04-27,208
1,2013-04-28,230
1,2013-04-29,137
1,2013-04-30,187
1,2013-05-01,183
1,2013-05-02,214
1,2013-05-03,190
1,2013-05-04,247
1,2013-05-05,226
1,2013-05-06,176
1,2013-05-07,195
1,2013-05-08,179
1,2013-05-09,209
1,2013-05-10,232
1,2013-05-11,208
1,2013-05-12,224
1,2013-05-13,157
1,2013-05-14,196
1,2013-05-15,187
1,2013-05-16,190
1,2013-05-17,220
1,2013-05-18,223
1,2013-05-19,255
1,2013-05-20,166
1,2013-05-21,167
1,2013-05-22,198
1,2013-05-23,201
1,2013-05-24,213
1,2013-05-25,250
1,2013-05-26,259
1,2013-05-27,155
1,2013-05-28,194
1,2013-05-29,193
1,2013-05-30,177
1,2013-05-31,214
1,2013-06-01,263
1,2013-06-02,274
1,2013-06-03,176
1,2013-06-04,208
1,2013-06-05,218
1,2013-06-06,186
1,2013-06-07,234
1,2013-06-08,251
1,2013-06-09,256
1,2013-06-10,172
1,2013-06-11,227
1,2013-06-12,217
1,2013-06-13,224
1,2013-06-14,220
1,2013-06-15,244
1,2013-06-16,256
1,2013-06-17,190
1,2013-06-18,199
1,2013-06-19,203
1,2013-06-20,225
1,2013-06-21,245
1,2013-06-22,240
1,2013-06-23,263
1,2013-06-24,188
1,2013-06-25,200
1,2013-06-26,195
1,2013-06-27,226
1,2013-06-28,213
1,2013-06-29,260
1,2013-06-30,266
1,2013-07-01,206
1,2013-07-02,202
1,2013-07-03,198
1,2013-07-04,215
1,2013-07-05,261
1,2013-07-06,253
1,2013-07-07,258
1,2013-07-08,202
1,2013-07-09,230
1,2013-07-10,209
1,2013-07-11,217
1,2013-07-12,264
1,2013-07-13,265
1,2013-07-14,295
1,2013-07-15,197
1,2013-07-16,201
1,2013-07-17,211
1,2013-07-18,243
1,2013-07-19,260
1,2013-07-20,262
1,2013-07-21,275
1,2013-07-22,183
1,2013-07-23,195
1,2013-07-24,205
1,2013-07-25,246
1,2013-07-26,247
1,2013-07-27,258
1,2013-07-28,264
1,2013-07-29,177
1,2013-07-30,200
1,2013-07-31,208
1,2013-08-01,203
1,2013-08-02,214
1,2013-08-03,246
1,2013-08-04,239
1,2013-08-05,188
1,2013-08-06,183
1,2013-08-07,219
1,2013-08-08,190
1,2013-08-09,206
1,2013-08-10,231
1,2013-08-11,250
1,2013-08-12,153
1,2013-08-13,170
1,2013-08-14,212
1,2013-08-15,222
1,2013-08-16,208
1,2013-08-17,233
1,2013-08-18,232
1,2013-08-19,165
1,2013-08-20,185
1,2013-08-21,202
1,2013-08-22,218
1,2013-08-23,237
1,2013-08-24,210
1,2013-08-25,279
1,2013-08-26,175
1,2013-08-27,176
1,2013-08-28,195
1,2013-08-29,217
1,2013-08-30,235
1,2013-08-31,199
1,2013-09-01,227
1,2013-09-02,134
1,2013-09-03,187
1,2013-09-04,169
1,2013-09-05,199
1,2013-09-06,210
1,2013-09-07,196
1,2013-09-08,229
1,2013-09-09,158
1,2013-09-10,191
1,2013-09-11,187
1,2013-09-12,196
1,2013-09-13,203
1,2013-09-14,222
1,2013-09-15,229
1,2013-09-16,136
1,2013-09-17,165
1,2013-09-18,151
1,2013-09-19,203
1,2013-09-20,164
1,2013-09-21,219
1,2013-09-22,235
1,2013-09-23,176
1,2013-09-24,176
1,2013-09-25,175
1,2013-09-26,199
1,2013-09-27,183
1,2013-09-28,216
1,2013-09-29,217
1,2013-09-30,141
1,2013-10-01,159
1,2013-10-02,178
1,2013-10-03,189
1,2013-10-04,203
1,2013-10-05,187
1,2013-10-06,200
1,2013-10-07,150
1,2013-10-08,162
1,2013-10-09,174
1,2013-10-10,185
1,2013-10-11,190
1,2013-10-12,220
1,2013-10-13,198
1,2013-10-14,150
1,2013-10-15,172
1,2013-10-16,153
1,2013-10-17,192
1,2013-10-18,174
1,2013-10-19,210
1,2013-10-20,207
1,2013-10-21,110
1,2013-10-22,163
1,2013-10-23,167
1,2013-10-24,177
1,2013-10-25,174
1,2013-10-26,210
1,2013-10-27,198
1,2013-10-28,136
1,2013-10-29,157
1,2013-10-30,171
1,2013-10-31,181
1,2013-11-01,244
1,2013-11-02,223
1,2013-11-03,226
1,2013-11-04,162
1,2013-11-05,175
1,2013-11-06,173
1,2013-11-07,167
1,2013-11-08,231
1,2013-11-09,226
1,2013-11-10,255
1,2013-11-11,162
1,2013-11-12,163
1,2013-11-13,180
1,2013-11-14,186
1,2013-11-15,200
1,2013-11-16,205
1,2013-11-17,225
1,2013-11-18,158
1,2013-11-19,194
1,2013-11-20,185
1,2013-11-21,203
1,2013-11-22,189
1,2013-11-23,225
1,2013-11-24,236
1,2013-11-25,174
1,2013-11-26,184
1,2013-11-27,181
1,2013-11-28,205
1,2013-11-29,196
1,2013-11-30,225
1,2013-12-01,181
1,2013-12-02,104
1,2013-12-03,144
1,2013-12-04,143
1,2013-12-05,157
1,2013-12-06,155
1,2013-12-07,156
1,2013-12-08,157
1,2013-12-09,84
1,2013-12-10,129
1,2013-12-11,129
1,2013-12-12,110
1,2013-12-13,155
1,2013-12-14,160
1,2013-12-15,147
1,2013-12-16,113
1,2013-12-17,129
1,2013-12-18,141
1,2013-12-19,128
1,2013-12-20,159
1,2013-12-21,159
1,2013-12-22,155
1,2013-12-23,102
1,2013-12-24,132
1,2013-12-25,124
1,2013-12-26,127
1,2013-12-27,168
1,2013-12-28,156
1,2013-12-29,168
1,2013-12-30,106
1,2013-12-31,131
1,2014-01-01,109
1,2014-01-02,128
1,2014-01-03,146
1,2014-01-04,155
1,2014-01-05,179
1,2014-01-06,135
1,2014-01-07,106
1,2014-01-08,131
1,2014-01-09,127
1,2014-01-10,151
1,2014-01-11,159
1,2014-01-12,163
1,2014-01-13,97
1,2014-01-14,137
1,2014-01-15,127
1,2014-01-16,157
1,2014-01-17,149
1,2014-01-18,145
1,2014-01-19,169
1,2014-01-20,105
1,2014-01-21,103
1,2014-01-22,132
1,2014-01-23,140
1,2014-01-24,180
1,2014-01-25,173
1,2014-01-26,163
1,2014-01-27,107
1,2014-01-28,110
1,2014-01-29,130
1,2014-01-30,157
1,2014-01-31,153
1,2014-02-01,171
1,2014-02-02,163
1,2014-02-03,113
1,2014-02-04,147
1,2014-02-05,168
1,2014-02-06,175
1,2014-02-07,165
1,2014-02-08,178
1,2014-02-09,184
1,2014-02-10,121
1,2014-02-11,132
1,2014-02-12,126
1,2014-02-13,139
1,2014-02-14,169
1,2014-02-15,164
1,2014-02-16,193
1,2014-02-17,106
1,2014-02-18,144
1,2014-02-19,145
1,2014-02-20,161
1,2014-02-21,191
1,2014-02-22,175
1,2014-02-23,183
1,2014-02-24,131
1,2014-02-25,155
1,2014-02-26,180
1,2014-02-27,137
1,2014-02-28,175
1,2014-03-01,199
1,2014-03-02,217
1,2014-03-03,169
1,2014-03-04,166
1,2014-03-05,210
1,2014-03-06,185
1,2014-03-07,174
1,2014-03-08,202
1,2014-03-09,205
1,2014-03-10,149
1,2014-03-11,195
1,2014-03-12,188
1,2014-03-13,185
1,2014-03-14,180
1,2014-03-15,213
1,2014-03-16,235
1,2014-03-17,151
1,2014-03-18,160
1,2014-03-19,180
1,2014-03-20,179
1,2014-03-21,199
1,2014-03-22,237
1,2014-03-23,235
1,2014-03-24,147
1,2014-03-25,176
1,2014-03-26,208
1,2014-03-27,144
1,2014-03-28,193
1,2014-03-29,213
1,2014-03-30,234
1,2014-03-31,132
1,2014-04-01,216
1,2014-04-02,185
1,2014-04-03,195
1,2014-04-04,228
1,2014-04-05,263
1,2014-04-06,281
1,2014-04-07,149
1,2014-04-08,224
1,2014-04-09,194
1,2014-04-10,226
1,2014-04-11,216
1,2014-04-12,235
1,2014-04-13,258
1,2014-04-14,176
1,2014-04-15,186
1,2014-04-16,189
1,2014-04-17,213
1,2014-04-18,236
1,2014-04-19,259
1,2014-04-20,264
1,2014-04-21,178
1,2014-04-22,201
1,2014-04-23,227
1,2014-04-24,247
1,2014-04-25,241
1,2014-04-26,221
1,2014-04-27,264
1,2014-04-28,161
1,2014-04-29,224
1,2014-04-30,195
1,2014-05-01,232
1,2014-05-02,253
1,2014-05-03,250
1,2014-05-04,282
1,2014-05-05,192
1,2014-05-06,246
1,2014-05-07,195
1,2014-05-08,228
1,2014-05-09,257
1,2014-05-10,242
1,2014-05-11,285
1,2014-05-12,179
1,2014-05-13,219
1,2014-05-14,239
1,2014-05-15,258
1,2014-05-16,242
1,2014-05-17,279
1,2014-05-18,260
1,2014-05-19,194
1,2014-05-20,227
1,2014-05-21,213
1,2014-05-22,234
1,2014-05-23,244
1,2014-05-24,264
