article,date,sales
normal_1,2023-01-01,9.0
normal_1,2023-02-01,39.0
normal_1,2023-03-01,34.0
normal_1,2023-04-01,24.0
normal_1,2023-05-01,24.0
normal_1,2023-06-01,43.0
normal_1,2023-07-01,8.0
normal_1,2023-08-01,36.0
normal_1,2023-09-01,14.0
normal_1,2023-10-01,9.0
normal_1,2023-11-01,28.0
normal_1,2023-12-01,48.0
normal_1,2024-01-01,38.0
normal_1,2024-02-01,39.0
normal_1,2024-03-01,37.0
normal_1,2024-04-01,40.0
normal_1,2024-05-01,28.0
normal_1,2024-06-01,10.0
normal_1,2024-07-01,42.0
normal_1,2024-08-01,25.0
normal_1,2024-09-01,27.0
normal_1,2024-10-01,21.0
normal_1,2024-11-01,13.0
normal_1,2024-12-01,46.0
normal_2,2023-01-01,40.0
normal_2,2023-02-01,33.0
normal_2,2023-03-01,23.0
normal_2,2023-04-01,42.0
normal_2,2023-05-01,29.0
normal_2,2023-06-01,24.0
normal_2,2023-07-01,25.0
normal_2,2023-08-01,15.0
normal_2,2023-09-01,9.0
normal_2,2023-10-01,29.0
normal_2,2023-11-01,44.0
normal_2,2023-12-01,7.0
normal_2,2024-01-01,43.0
normal_2,2024-02-01,42.0
normal_2,2024-03-01,17.0
normal_2,2024-04-01,33.0
normal_2,2024-05-01,12.0
normal_2,2024-06-01,39.0
normal_2,2024-07-01,36.0
normal_2,2024-08-01,20.0
normal_2,2024-09-01,8.0
normal_2,2024-10-01,48.0
normal_2,2024-11-01,25.0
normal_2,2024-12-01,45.0
normal_3,2023-01-01,35.0
normal_3,2023-02-01,40.0
normal_3,2023-03-01,39.0
normal_3,2023-04-01,13.0
normal_3,2023-05-01,21.0
normal_3,2023-06-01,26.0
normal_3,2023-07-01,27.0
normal_3,2023-08-01,6.0
normal_3,2023-09-01,29.0
normal_3,2023-10-01,11.0
normal_3,2023-11-01,38.0
normal_3,2023-12-01,35.0
normal_3,2024-01-01,46.0
normal_3,2024-02-01,38.0
normal_3,2024-03-01,21.0
normal_3,2024-04-01,48.0
normal_3,2024-05-01,23.0
normal_3,2024-06-01,19.0
normal_3,2024-07-01,45.0
normal_3,2024-08-01,21.0
normal_3,2024-09-01,8.0
normal_3,2024-10-01,26.0
normal_3,2024-11-01,40.0
normal_3,2024-12-01,13.0
all_zeros,2023-01-01,0.0
all_zeros,2023-02-01,0.0
all_zeros,2023-03-01,0.0
all_zeros,2023-04-01,0.0
all_zeros,2023-05-01,0.0
all_zeros,2023-06-01,0.0
all_zeros,2023-07-01,0.0
all_zeros,2023-08-01,0.0
all_zeros,2023-09-01,0.0
all_zeros,2023-10-01,0.0
all_zeros,2023-11-01,0.0
all_zeros,2023-12-01,0.0
all_zeros,2024-01-01,0.0
all_zeros,2024-02-01,0.0
all_zeros,2024-03-01,0.0
all_zeros,2024-04-01,0.0
all_zeros,2024-05-01,0.0
all_zeros,2024-06-01,0.0
all_zeros,2024-07-01,0.0
all_zeros,2024-08-01,0.0
all_zeros,2024-09-01,0.0
all_zeros,2024-10-01,0.0
all_zeros,2024-11-01,0.0
all_zeros,2024-12-01,0.0
high_inner_zeros,2023-01-01,10.0
high_inner_zeros,2023-02-01,0.0
high_inner_zeros,2023-03-01,0.0
high_inner_zeros,2023-04-01,7.0
high_inner_zeros,2023-05-01,0.0
high_inner_zeros,2023-06-01,0.0
high_inner_zeros,2023-07-01,0.0
high_inner_zeros,2023-08-01,0.0
high_inner_zeros,2023-09-01,0.0
high_inner_zeros,2023-10-01,0.0
high_inner_zeros,2023-11-01,6.0
high_inner_zeros,2023-12-01,0.0
high_inner_zeros,2024-01-01,0.0
high_inner_zeros,2024-02-01,0.0
high_inner_zeros,2024-03-01,0.0
high_inner_zeros,2024-04-01,0.0
high_inner_zeros,2024-05-01,3.0
high_inner_zeros,2024-06-01,0.0
high_inner_zeros,2024-07-01,0.0
high_inner_zeros,2024-08-01,0.0
high_inner_zeros,2024-09-01,0.0
high_inner_zeros,2024-10-01,0.0
high_inner_zeros,2024-11-01,0.0
high_inner_zeros,2024-12-01,10.0
constant,2023-01-01,7.0
constant,2023-02-01,7.0
constant,2023-03-01,7.0
constant,2023-04-01,7.0
constant,2023-05-01,7.0
constant,2023-06-01,7.0
constant,2023-07-01,7.0
constant,2023-08-01,7.0
constant,2023-09-01,7.0
constant,2023-10-01,7.0
constant,2023-11-01,7.0
constant,2023-12-01,7.0
constant,2024-01-01,7.0
